Ligand,Score
CNP0581301.3,SKIPPED
CNP0530672.1,SKIPPED
CNP0247876.1,SKIPPED
CNP0513491.1,SKIPPED
CNP0155712.1,SKIPPED
CNP0556130.1,SKIPPED
CNP0511367.5,SKIPPED
CNP0015440.1,SKIPPED
CNP0144814.1,SKIPPED
CNP0169089.1,SKIPPED
CNP0259312.2,SKIPPED
CNP0563476.1,SKIPPED
CNP0141116.2,SKIPPED
CNP0003774.1,SKIPPED
CNP0309011.3,SKIPPED
CNP0009135.1,SKIPPED
CNP0092301.3,SKIPPED
CNP0285283.2,SKIPPED
CNP0177332.1,SKIPPED
CNP0310375.1,SKIPPED
CNP0202308.1,SKIPPED
CNP0192328.6,SKIPPED
CNP0234709.1,SKIPPED
CNP0323811.2,SKIPPED
CNP0139821.1,SKIPPED
CNP0581301.2,SKIPPED
CNP0148676.1,SKIPPED
CNP0389264.1,SKIPPED
CNP0270023.0,SKIPPED
CNP0508346.1,SKIPPED
CNP0188842.0,SKIPPED
CNP0431836.1,SKIPPED
CNP0521855.1,SKIPPED
CNP0110615.2,SKIPPED
CNP0386819.3,SKIPPED
CNP0581301.3,SKIPPED
CNP0155712.1,SKIPPED
CNP0556130.1,SKIPPED
CNP0247876.1,SKIPPED
CNP0169089.1,SKIPPED
CNP0530672.1,SKIPPED
CNP0513491.1,SKIPPED
CNP0259312.2,SKIPPED
CNP0144814.1,SKIPPED
CNP0511367.5,SKIPPED
CNP0015440.1,SKIPPED
CNP0563476.1,SKIPPED
CNP0141116.2,SKIPPED
CNP0003774.1,SKIPPED
CNP0139381.1,FAILED
CNP0167657.3,FAILED
CNP0110452.1,FAILED
CNP0593388.1,FAILED
CNP0461413.0,FAILED
CNP0432960.2,FAILED
CNP0425821.3,FAILED
CNP0066149.3,FAILED
CNP0450218.1,FAILED
CNP0327575.1,FAILED
CNP0560698.1,FAILED
CNP0590820.1,FAILED
CNP0502526.1,FAILED
CNP0581344.1,FAILED
CNP0473502.1,FAILED
CNP0085741.7,FAILED
CNP0426156.2,FAILED
CNP0525053.1,FAILED
CNP0249416.1,FAILED
CNP0242585.0,FAILED
CNP0176208.1,FAILED
CNP0520451.0,FAILED
CNP0139458.1,FAILED
CNP0307330.1,SKIPPED
CNP0080969.0,SKIPPED
CNP0036071.1,SKIPPED
CNP0462482.1,SKIPPED
CNP0427460.1,SKIPPED
CNP0050070.1,SKIPPED
CNP0360815.5,SKIPPED
CNP0572536.1,SKIPPED
CNP0385359.0,SKIPPED
CNP0252331.2,SKIPPED
CNP0540023.1,SKIPPED
CNP0029524.1,SKIPPED
CNP0438011.1,SKIPPED
CNP0297741.1,SKIPPED
CNP0448164.1,SKIPPED
CNP0262150.1,SKIPPED
CNP0292462.0,SKIPPED
CNP0432038.1,SKIPPED
CNP0054381.1,SKIPPED
CNP0214156.1,SKIPPED
CNP0014371.1,SKIPPED
CNP0295208.1,SKIPPED
CNP0131639.1,SKIPPED
CNP0228603.1,SKIPPED
CNP0586137.0,SKIPPED
CNP0450015.1,SKIPPED
CNP0141978.1,SKIPPED
CNP0121904.2,SKIPPED
CNP0367773.1,SKIPPED
CNP0114350.1,SKIPPED
CNP0461133.1,SKIPPED
CNP0154557.1,SKIPPED
CNP0224881.1,SKIPPED
CNP0106687.1,SKIPPED
CNP0139458.1,FAILED
CNP0050070.1,SKIPPED
CNP0307330.1,SKIPPED
CNP0080969.0,SKIPPED
CNP0462482.1,SKIPPED
CNP0036071.1,SKIPPED
CNP0360815.5,SKIPPED
CNP0427460.1,SKIPPED
CNP0385359.0,SKIPPED
CNP0252331.2,SKIPPED
CNP0029524.1,SKIPPED
CNP0540023.1,SKIPPED
CNP0572536.1,SKIPPED
CNP0438011.1,SKIPPED
CNP0262150.1,SKIPPED
CNP0292462.0,SKIPPED
CNP0448164.1,SKIPPED
CNP0297741.1,SKIPPED
CNP0014371.1,SKIPPED
CNP0432038.1,SKIPPED
CNP0295208.1,SKIPPED
CNP0214156.1,SKIPPED
CNP0228603.1,SKIPPED
CNP0054381.1,SKIPPED
CNP0586137.0,SKIPPED
CNP0141978.1,SKIPPED
CNP0461133.1,SKIPPED
CNP0121904.2,SKIPPED
CNP0367773.1,SKIPPED
CNP0114350.1,SKIPPED
CNP0450015.1,SKIPPED
CNP0131639.1,SKIPPED
CNP0154557.1,SKIPPED
CNP0224881.1,SKIPPED
CNP0106687.1,SKIPPED
CNP0139458.1,FAILED
CNP0572536.1,SKIPPED
CNP0385359.0,SKIPPED
CNP0080969.0,SKIPPED
CNP0307330.1,SKIPPED
CNP0540023.1,SKIPPED
CNP0462482.1,SKIPPED
CNP0252331.2,SKIPPED
CNP0427460.1,SKIPPED
CNP0050070.1,SKIPPED
CNP0036071.1,SKIPPED
CNP0029524.1,SKIPPED
CNP0360815.5,SKIPPED
CNP0438011.1,SKIPPED
CNP0448164.1,SKIPPED
CNP0297741.1,SKIPPED
CNP0262150.1,SKIPPED
CNP0014371.1,SKIPPED
CNP0292462.0,SKIPPED
CNP0432038.1,SKIPPED
CNP0054381.1,SKIPPED
CNP0214156.1,SKIPPED
CNP0295208.1,SKIPPED
CNP0228603.1,SKIPPED
CNP0586137.0,SKIPPED
CNP0450015.1,SKIPPED
CNP0141978.1,SKIPPED
CNP0131639.1,SKIPPED
CNP0461133.1,SKIPPED
CNP0114350.1,SKIPPED
CNP0154557.1,SKIPPED
CNP0224881.1,SKIPPED
CNP0106687.1,SKIPPED
CNP0367773.1,SKIPPED
CNP0121904.2,SKIPPED
CNP0139458.1,FAILED
CNP0140485.3,FAILED
CNP0319645.1,FAILED
CNP0287046.2,FAILED
CNP0292819.2,FAILED
CNP0026476.1,FAILED
CNP0040711.1,FAILED
CNP0585161.1,FAILED
CNP0454849.2,FAILED
CNP0455671.1,FAILED
CNP0462363.1,FAILED
CNP0156848.4,FAILED
CNP0115180.1,FAILED
CNP0589650.2,FAILED
CNP0363193.0,FAILED
CNP0480504.2,FAILED
CNP0180315.3,FAILED
CNP0061951.1,FAILED
CNP0582257.1,FAILED
CNP0498007.3,FAILED
CNP0188316.6,FAILED
CNP0237450.3,FAILED
CNP0129963.1,FAILED
CNP0293332.1,FAILED
CNP0597997.1,FAILED
CNP0347892.6,FAILED
CNP0132550.2,FAILED
CNP0497700.2,FAILED
CNP0201520.1,FAILED
CNP0431951.1,FAILED
CNP0590633.1,FAILED
CNP0489672.1,FAILED
CNP0367985.0,FAILED
CNP0441866.1,FAILED
CNP0465112.1,FAILED
CNP0463678.2,FAILED
CNP0106541.0,SKIPPED
CNP0173379.0,SKIPPED
CNP0334112.0,SKIPPED
CNP0570934.2,SKIPPED
CNP0509149.2,SKIPPED
CNP0307134.1,SKIPPED
CNP0332695.0,SKIPPED
CNP0373324.3,SKIPPED
CNP0339035.1,SKIPPED
CNP0287067.1,SKIPPED
CNP0373324.4,SKIPPED
CNP0213286.2,SKIPPED
CNP0122885.3,SKIPPED
CNP0169909.1,SKIPPED
CNP0432131.1,SKIPPED
CNP0582619.2,SKIPPED
CNP0176899.0,SKIPPED
CNP0570934.1,SKIPPED
CNP0394862.6,SKIPPED
CNP0354601.1,SKIPPED
CNP0213893.1,SKIPPED
CNP0550149.2,SKIPPED
CNP0550149.1,SKIPPED
CNP0110534.2,SKIPPED
CNP0372662.2,SKIPPED
