identifier,Score,BalabanIndex_cuberoot,RingCount_log,PathComplexityIndex_log,Fused_ring_count_sqrt,StereocenterCount_log,BertzCTIndex_cuberoot,TotalPathCount_cuberoot,Largest_ring_size_cuberoot,Ester_log,HBD
CNP0492424.0,-7.6,1.3243454970946682,0.6931471805599453,1.4799798451972137,0.0,0.0,9.543482360603194,4.973189833268591,1.8171205928321397,0.6931471805599453,1
CNP0492440.1,-8.1,0.962762428907522,2.3978952727983707,1.560430333327406,2.8284271247461903,2.3978952727983707,15.77375281938197,7.594363318174862,2.924017738212866,,9
CNP0492528.1,-10.22,1.0442621881867429,1.6094379124341005,1.5163474893680884,1.4142135623730951,1.9459101490553132,11.224724370269977,5.896368539970367,2.080083823051904,,5
CNP0492574.1,-5.6,1.6217359549008414,,1.1138797607988982,0.0,0.0,10.57105792279459,5.8284766832514565,0.0,1.0986122886681098,0
CNP0492585.0,-6.252,1.6200970492372428,,1.1138797607988982,0.0,,10.113587085957164,5.8284766832514565,0.0,1.0986122886681098,0
CNP0492596.2,-10.68,1.037578221481506,2.1972245773362196,1.5837130211956645,3.0,1.9459101490553132,12.917073234486342,6.745996711705425,2.4662120743304703,,7
CNP0492603.0,-6.0,1.4202017779064864,0.0,1.413693335308005,0.0,,8.097483748000377,4.198336453808408,1.8171205928321397,0.0,0
CNP0492622.3,-9.4,1.137864134976542,1.791759469228055,1.6454483499571335,2.0,2.4849066497880004,12.70653294195001,6.7751689522733125,2.0,1.3862943611198906,4
CNP0492636.2,-6.133,1.6178878027183934,,1.1247234326717954,0.0,0.0,9.872614556554195,5.788960372062404,0.0,1.0986122886681098,0
CNP0492693.1,-7.5,1.369600783873543,0.6931471805599453,1.3792271938967982,0.0,2.3978952727983707,12.871173585013617,6.557672186169712,2.924017738212866,,12
CNP0492809.1,-9.0,1.0541384411852874,1.791759469228055,1.655048423686153,2.23606797749979,1.0986122886681098,10.177250156842668,5.3946907121095915,1.8171205928321397,,0
CNP0492871.1,-8.4,1.0426726792242011,1.791759469228055,1.5781853689299958,2.0,1.3862943611198906,11.87935588008196,6.316359597656379,1.8171205928321397,,0
CNP0492936.1,-6.8,1.6139627997434216,,1.1138797607988982,0.0,0.0,10.700255902825411,5.8284766832514565,0.0,1.0986122886681098,0
CNP0493128.2,-6.6,1.6075751269478082,,1.1416958748044217,0.0,0.6931471805599453,9.818479421421172,5.495864660095013,0.0,0.0,0
CNP0493145.1,-7.3,1.4045584568244374,0.0,1.4321038971511848,0.0,1.6094379124341005,6.874574999519756,4.0615481004456795,1.8171205928321397,,5
CNP0493309.2,-6.6,1.6274352629640154,,1.1239300966523995,0.0,0.0,9.208425018464611,5.4288352331898135,0.0,1.0986122886681098,0
CNP0493334.2,-6.086,1.6259247862062485,,1.125568098656638,0.0,0.6931471805599453,9.72590519063015,5.728654315982438,0.0,1.0986122886681098,0
CNP0493437.1,-7.1,1.6241751753143208,,1.1251390430015382,0.0,0.0,9.819291874953215,5.758965220492401,0.0,1.0986122886681098,0
CNP0493437.2,-6.7,1.6241751753143208,,1.1251390430015382,0.0,0.0,9.819291874953215,5.758965220492401,0.0,1.0986122886681098,0
CNP0493470.1,-6.4,1.7382519080643857,,1.1631508098056809,0.0,1.6094379124341005,13.244610347408996,6.839903786706788,0.0,1.3862943611198906,3
CNP0493471.1,-6.4,1.6127747940357082,,1.1174807729724925,0.0,0.0,10.190284754725273,5.981424029720886,0.0,1.0986122886681098,0
