dataset,MAE_mean,MAE_ci,MSE_mean,MSE_ci,RMSE_mean,RMSE_ci,R2_mean,R2_ci,MAPE_mean,MAPE_ci,model
ratios_only.csv,0.5242498823518738,0.0078638771578528,0.4759153958472202,0.0144488960902853,0.6897831779107956,0.0104893570389827,0.8378459906906659,0.0067539303877736,6.260079727743458,0.0894026544734799,ridge_regression
interactions_only.csv,0.6125288576588586,0.0100810565083337,0.6393528647280562,0.030656196606683,0.7993559336870588,0.0191778765627445,0.7819982992618048,0.0147358983996224,7.435886579515814,0.0828293262161624,ridge_regression
transformations_only.csv,0.7164660998663298,0.0101728994733805,0.8466661263999675,0.0299939960780637,0.9199967894194908,0.0161635799570344,0.7115754688674045,0.012139074878664,8.561970047001132,0.1232678702809148,ridge_regression
all_4_combined.csv,0.5109882491356806,0.0048066114267321,0.4550280648179806,0.0065086707022465,0.674539634050938,0.0048355738724477,0.8450058733510684,0.0035989525879289,6.0668168509679266,0.0843055555401786,ridge_regression
interactions_and_ratios.csv,0.5113122068533165,0.0050070458008768,0.4550097991393532,0.0056162423426575,0.6745306905405165,0.0041746916795007,0.8450143647815042,0.0033286140324709,6.068192047382697,0.0909387899410649,ridge_regression
descriptors_only.csv,0.6568074648929273,0.0117182831117933,0.7049947008333712,0.0291877903909194,0.8394514338331709,0.0174206148708956,0.7599693664286907,0.0083464390969116,7.8940158788807056,0.1155544616763539,adaboost
raw_descs_and_ratios.csv,0.600601688460668,0.0080525656308694,0.5824026484331416,0.020412641947319,0.7630316488093085,0.013342092605331,0.8016520663893673,0.0070141181862787,7.242399234304462,0.0832655204610975,adaboost
raw_descs_and_interactions.csv,0.6074098904664142,0.0115285853913306,0.5973543614359831,0.0229914959063099,0.772739520960855,0.0147974866648692,0.7965385535361966,0.0084199514565467,7.2898426322386864,0.1232005617366482,adaboost
transforms_and_interactions.csv,0.6074098904664142,0.0115285853913306,0.5973543614359831,0.0229914959063099,0.772739520960855,0.0147974866648692,0.7965385535361966,0.0084199514565467,7.2898426322386864,0.1232005617366482,adaboost
transforms_and_ratios.csv,0.5975750367771987,0.0090160316765003,0.5764030215157012,0.0231076387918945,0.7590539345158799,0.0151867122709833,0.8037057386521363,0.0076769788401043,7.198408089862101,0.0965172553291027,adaboost
raw_descs_and_transforms.csv,0.6571760926155419,0.0096781517068322,0.7062810826026986,0.0267675759756706,0.8402477891722031,0.0159452774301437,0.7595128140969006,0.0078167488835505,7.873718389743873,0.0943687608656136,adaboost
ratios_only.csv,0.6008998143731267,0.0108369161849349,0.5814338316580134,0.0251911399972425,0.7623321122045589,0.016503105716903,0.8020103376678691,0.0080025497549888,7.248407234027035,0.1253151519833062,adaboost
interactions_only.csv,0.6074098904664142,0.0115285853913306,0.5973543614359831,0.0229914959063099,0.772739520960855,0.0147974866648692,0.7965385535361966,0.0084199514565467,7.2898426322386864,0.1232005617366482,adaboost
transformations_only.csv,0.653414384415742,0.0090025125674219,0.7009629075338176,0.0290032288742949,0.8370494168363599,0.0172875252115896,0.7612920154130277,0.0095347759462207,7.831625291971582,0.0814980291738858,adaboost
all_4_combined.csv,0.6078229189735385,0.0095879861261468,0.5893339569287621,0.0195616155038725,0.7675713790115681,0.0127073562561422,0.7992825270431992,0.0069793216519039,7.347229412565897,0.0965352936195095,adaboost
interactions_and_ratios.csv,0.6068149207253232,0.0089831412650443,0.5885158094345839,0.018606747162808,0.7670488958815548,0.0120743302637214,0.7995448856251959,0.0071079757568201,7.331073047265855,0.0912219371054851,adaboost
descriptors_only.csv,0.6031190167463845,0.0076758245636698,0.6255085971430342,0.0174986459606336,0.7908089684986204,0.0111639372431531,0.7869945357978311,0.0052559405136713,7.075810222022973,0.1307499989972891,decision_tree
raw_descs_and_ratios.csv,0.5651383492188076,0.0097494987142872,0.5563179004875576,0.0237474719045598,0.7456925647726731,0.015817191812395,0.8105174746882039,0.0085701385566726,6.691801421538164,0.1356134765254882,decision_tree
raw_descs_and_interactions.csv,0.5785019490562167,0.0102383076609945,0.5771966814356254,0.0251636486794385,0.7595473923427262,0.0165280485308804,0.803321854823327,0.0104756294826886,6.835861476590466,0.1133863428933703,decision_tree
transforms_and_interactions.csv,0.5785019490562167,0.0102383076609945,0.5771966814356254,0.0251636486794385,0.7595473923427262,0.0165280485308804,0.803321854823327,0.0104756294826886,6.835861476590466,0.1133863428933703,decision_tree
transforms_and_ratios.csv,0.5645666333724366,0.0092938130008568,0.5491920202711743,0.016734059720572,0.7409845455089303,0.0113410852218526,0.812969901986796,0.0055265519652614,6.683360601369381,0.132726677213696,decision_tree
raw_descs_and_transforms.csv,0.6049843131744134,0.0093851997362001,0.628743190600586,0.0188571540753381,0.7928387348553959,0.011999743388397,0.7858887433631008,0.005902464212735,7.112743816103436,0.1590928854757222,decision_tree
ratios_only.csv,0.5640013231126456,0.0089533685577163,0.5464303543604188,0.015891990647859,0.7391274140844044,0.0107808957415897,0.8139095698091161,0.0052697475460242,6.675468540683139,0.1283440367951818,decision_tree
