cluster_post,UMAP_0,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11
102,9.537262,-2.6244943,1.3843385,5.547687,-0.93049383,4.035921,6.460931,3.277981,7.1092134,5.373588,9.995096,4.587709
103,12.833127,0.5995139,1.1361102,5.7467732,4.969233,-2.4680755,4.8631883,2.627832,5.4175773,4.1697097,6.406076,4.926524
104,9.697354,4.087472,0.89784175,7.702931,3.8814752,6.3820415,2.3829758,2.5973952,10.061107,4.2732587,7.9964743,6.0005207
105,9.489736,-2.8834844,1.3620913,5.6609755,-0.38121426,3.9069269,6.5753255,3.3518527,7.472657,5.6793375,10.265985,4.459685
106,9.527421,-2.5882328,1.3824701,5.5758924,-0.4931651,3.9719915,6.4978724,3.2510333,7.3504744,5.638231,10.448172,4.4627695
107,12.549244,0.8606547,1.1127512,6.15073,4.939007,-2.4732788,5.1303687,2.701948,5.5936894,4.208083,6.5462203,4.89439
108,13.150926,0.68930405,1.1858809,4.6359887,5.0749493,-2.7567475,4.9238076,2.850961,4.9673038,4.18301,7.0484824,5.2783165
109,11.5895,1.0088547,1.4075264,4.0845504,5.41069,13.047784,5.799102,3.059648,2.8753092,4.188348,5.6504827,4.686973
110,9.774215,3.968024,1.0030121,7.3052883,3.7603655,6.346368,2.407261,2.496674,9.859462,4.3718233,8.116049,6.35157
111,9.56094,4.116064,0.92763907,7.5616055,3.7683148,6.052106,2.462412,2.5159793,9.77414,4.2947116,8.127396,6.404775
112,13.423314,0.6061893,1.172538,5.713672,4.933277,-2.121208,4.933776,2.7916393,5.255041,4.2519293,6.4682207,5.000075
113,9.443754,-2.358893,1.1913415,4.898707,-2.68333,4.356205,6.2489376,3.2453856,4.8434515,2.475678,6.4151735,4.7584715
114,12.559157,1.127814,1.2029063,5.5632896,4.715754,-2.636213,5.208503,2.889053,5.3266373,4.216652,6.967897,5.2238913
115,13.099775,0.8644911,1.1785924,5.8901315,4.9917645,-2.2708662,5.11045,2.8661222,5.3411818,4.252439,6.740564,5.0644865
116,9.449259,-0.0943369,1.1954975,1.7170608,4.3599763,5.9784427,5.9590063,1.3743813,4.564026,3.6525173,10.9598,1.7494231
117,10.050546,3.785239,0.8848263,7.6483836,4.1474648,6.945904,2.4847667,2.7925463,10.354983,4.2548256,7.7137136,5.6587725
118,12.975753,0.6957289,1.0884945,4.9527206,5.2898316,12.550735,6.1882377,3.193402,4.0905843,4.7250185,5.526248,4.20908
119,13.640045,0.023797847,1.1819999,4.87562,4.864909,-2.3952947,4.6683927,2.860489,4.7500663,4.2801013,6.4345403,5.2192464
120,14.893936,0.81333596,1.1319039,5.114044,4.7084646,-1.5623659,4.9771667,2.945057,4.900037,4.3058467,6.4406743,4.916055
