cluster,identifier,Score
790,CNP0219411.0,-8.182
791,CNP0437330.2,-9.289
792,CNP0415380.1,-8.968
793,CNP0120558.3,-7.602
794,CNP0225329.7,-11.23
795,CNP0256237.2,-8.7
796,CNP0178277.2,-9.8
797,CNP0586153.1,-9.1
798,CNP0269703.3,-8.6
799,CNP0363534.3,-8.6
800,CNP0381659.1,-8.9
801,CNP0153550.1,-8.6
802,CNP0335834.1,-7.5
803,CNP0521223.1,-8.8
804,CNP0277021.1,-9.4
805,CNP0027552.0,-5.1
806,CNP0372009.2,-8.5
807,CNP0001517.0,-4.8
808,CNP0520630.0,-5.4
809,CNP0144693.1,-8.5
810,CNP0042093.2,-7.9
811,CNP0502712.0,-8.4
812,CNP0495988.0,-9.5
813,CNP0283447.0,-9.3
814,CNP0253197.0,-5.3
815,CNP0164574.4,-8.0
816,CNP0383779.1,-11.2
817,CNP0280832.2,-8.6
818,CNP0411965.0,-9.9
819,CNP0026957.2,-9.8
820,CNP0598176.1,-8.7
821,CNP0192264.1,-9.2
822,CNP0355855.0,-6.4
823,CNP0559905.1,-10.3
824,CNP0167448.1,-9.3
825,CNP0132711.2,-6.8
826,CNP0279928.2,-6.1
827,CNP0433166.0,-6.2
828,CNP0362813.4,-7.7
829,CNP0100556.0,-4.2
830,CNP0212137.1,-8.9
831,CNP0361899.3,-9.9
832,CNP0407277.1,-10.0
833,CNP0070239.1,-8.7
834,CNP0123249.1,-7.8
835,CNP0066448.0,-5.7
836,CNP0190063.1,-5.3
837,CNP0082310.0,-4.8
838,CNP0381491.1,-5.9
839,CNP0378642.4,-7.0
840,CNP0286490.2,-6.0
841,CNP0502130.2,-6.7
842,CNP0249844.1,-7.0
843,CNP0173607.0,-7.2
844,CNP0107484.1,-6.0
845,CNP0351877.1,-7.7
846,CNP0112625.2,-6.7
847,CNP0266981.1,-6.0
848,CNP0550515.1,-6.0
849,CNP0084120.2,-6.8
850,CNP0548448.1,-6.8
851,CNP0594139.1,-6.7
852,CNP0481673.1,-7.4
853,CNP0295818.1,-10.4
854,CNP0520644.1,-7.1
855,CNP0540794.1,-6.4
856,CNP0090645.1,-10.0
857,CNP0154673.2,-8.7
858,CNP0082352.1,-6.8
859,CNP0123916.2,-9.2
860,CNP0141815.3,-7.4
861,CNP0473952.1,-8.5
862,CNP0202541.1,-8.7
863,CNP0544125.1,-8.5
864,CNP0589564.1,-7.8
865,CNP0181640.1,-7.6
866,CNP0251385.1,-7.7
867,CNP0281322.1,-8.5
868,CNP0356933.1,-8.4
869,CNP0073881.1,-8.4
870,CNP0312383.1,-8.1
871,CNP0268744.2,-7.5
872,CNP0189995.3,-7.7
873,CNP0105580.2,-7.9
874,CNP0117738.1,-6.9
875,CNP0354183.1,-6.4
876,CNP0432198.1,-7.9
877,CNP0267031.2,-8.1
878,CNP0316538.1,-8.6
879,CNP0408624.1,-9.9
880,CNP0087201.6,-9.8
881,CNP0145159.1,-8.0
