cluster,identifier,Score
558,CNP0212622.8,-9.7
559,CNP0236837.2,-11.6
560,CNP0208536.1,-6.1
561,CNP0180716.0,-5.3
562,CNP0581344.1,
563,CNP0537058.1,-6.1
564,CNP0250788.1,-9.5
565,CNP0202576.2,-9.5
566,CNP0564570.1,-6.5
567,CNP0470946.5,-7.9
568,CNP0290577.1,-7.0
569,CNP0572401.0,-7.1
570,CNP0081030.1,-7.8
571,CNP0218889.0,-6.0
572,CNP0040847.0,-9.4
573,CNP0425821.3,
574,CNP0511692.1,-6.9
575,CNP0479339.1,-6.8
576,CNP0260374.2,-6.9
577,CNP0524863.1,-6.4
578,CNP0080072.1,-9.3
579,CNP0272455.6,-7.7
580,CNP0591709.1,-9.8
581,CNP0589645.1,-6.0
582,CNP0582432.1,-6.2
583,CNP0113684.3,-8.5
584,CNP0521284.1,-6.1
585,CNP0591484.1,-7.1
586,CNP0043046.1,-10.4
587,CNP0457492.0,-9.7
588,CNP0421671.1,-8.0
589,CNP0141421.7,-6.8
590,CNP0213267.2,-6.8
591,CNP0586625.1,-7.1
592,CNP0589513.1,-7.0
593,CNP0249287.3,-10.3
594,CNP0118121.2,
595,CNP0192382.38,-11.2
596,CNP0141936.0,-9.6
597,CNP0133096.0,-9.0
598,CNP0364226.2,-6.9
599,CNP0182200.1,-9.1
600,CNP0153609.1,-11.4
601,CNP0263804.1,-8.0
602,CNP0513315.1,-6.2
603,CNP0238401.1,-9.8
604,CNP0548011.1,-8.5
605,CNP0494307.0,-8.2
606,CNP0402871.1,-8.4
607,CNP0146145.1,-6.9
608,CNP0151441.1,-8.6
609,CNP0052017.1,-6.3
610,CNP0003133.0,-4.4
611,CNP0534063.1,-6.9
612,CNP0536607.1,-6.2
613,CNP0193369.0,-7.8
614,CNP0497849.1,-6.9
615,CNP0194198.6,-9.0
616,CNP0605495.1,-6.3
617,CNP0173641.1,-8.7
618,CNP0218637.1,-11.0
619,CNP0303617.1,-8.7
620,CNP0416808.1,-10.3
621,CNP0438006.1,-5.7
622,CNP0212809.1,-8.3
623,CNP0166808.1,-10.6
624,CNP0277561.10,-9.7
625,CNP0540746.1,-6.4
626,CNP0189847.2,-9.4
627,CNP0151765.2,-8.2
628,CNP0180393.1,-8.5
629,CNP0171690.3,-7.6
630,CNP0265247.1,-10.2
631,CNP0365989.1,-8.0
632,CNP0372319.1,-8.5
633,CNP0188698.1,-7.2
634,CNP0553080.1,-6.4
635,CNP0270009.0,-10.4
636,CNP0591667.1,-8.2
637,CNP0393423.1,-8.6
638,CNP0566397.1,-6.8
639,CNP0596972.1,-6.4
640,CNP0584972.1,-6.2
641,CNP0203412.4,-10.0
642,CNP0140424.1,-5.6
643,CNP0364636.1,-10.8
644,CNP0085483.2,-10.9
645,CNP0603482.1,-6.3
646,CNP0530655.1,-6.3
647,CNP0220937.0,-5.1
648,CNP0086282.0,-3.4
649,CNP0527165.1,-7.1
650,CNP0480494.1,-7.2
651,CNP0548892.1,-7.1
652,CNP0244750.1,-11.6
653,CNP0554860.1,-6.1
654,CNP0496111.1,-6.4
655,CNP0355505.1,-8.437
656,CNP0481392.1,-5.975
657,CNP0542849.1,-6.384
658,CNP0324752.5,-10.17
659,CNP0125283.2,-9.086
660,CNP0219920.1,-10.7
661,CNP0564269.1,-7.0
662,CNP0174105.1,-7.2
663,CNP0202605.1,-10.1
664,CNP0179397.2,-9.2
665,CNP0493735.1,-10.7
666,CNP0166815.3,-8.0
667,CNP0222253.1,-9.1
668,CNP0435775.1,-9.7
669,CNP0599794.1,-7.4
670,CNP0205516.1,-6.9
671,CNP0252894.8,-8.2
672,CNP0573252.1,-6.7
673,CNP0603301.1,-6.8
674,CNP0127102.1,-7.1
675,CNP0362762.5,-10.1
676,CNP0304913.3,-8.8
677,CNP0362420.1,-10.7
678,CNP0155373.1,-10.3
679,CNP0230448.2,-8.6
680,CNP0401240.1,-8.1
681,CNP0305074.3,
682,CNP0320560.2,-8.9
683,CNP0399943.1,-10.0
684,CNP0435039.1,-7.9
685,CNP0236821.1,-6.8
686,CNP0137477.7,-10.0
687,CNP0449624.1,-9.2
688,CNP0221958.2,-7.5
689,CNP0436023.1,-10.5
690,CNP0435921.1,-10.1
691,CNP0047925.3,-9.4
692,CNP0197951.3,-7.6
693,CNP0429480.1,-8.3
694,CNP0195969.1,-7.4
695,CNP0157123.2,-7.5
696,CNP0228921.3,-8.4
697,CNP0363732.3,-6.8
698,CNP0156202.1,-6.4
699,CNP0201698.4,-9.0
700,CNP0250274.1,-9.8
701,CNP0370360.7,-8.6
702,CNP0337104.0,-3.9
703,CNP0262118.1,-4.3
704,CNP0472507.2,-10.9
705,CNP0185637.1,-8.9
706,CNP0382770.0,-7.3
707,CNP0307228.4,-6.9
708,CNP0132930.1,-9.8
709,CNP0285330.2,-10.9
710,CNP0262195.22,-6.4
711,CNP0112961.1,-7.3
712,CNP0060686.2,-8.3
713,CNP0509409.0,-8.6
714,CNP0205312.0,-5.2
715,CNP0502200.1,-7.7
716,CNP0349023.4,-9.6
717,CNP0137629.1,-7.4
718,CNP0515354.1,-8.3
719,CNP0355274.0,-8.1
720,CNP0172750.0,-6.9
721,CNP0291659.3,-8.6
722,CNP0481098.1,-8.0
723,CNP0226604.20,-9.5
724,CNP0206331.0,-10.7
725,CNP0461923.2,-6.9
726,CNP0484765.0,-11.0
727,CNP0279214.0,-9.3
728,CNP0293643.1,-8.8
729,CNP0156279.1,-8.5
730,CNP0068441.2,-9.0
731,CNP0171575.1,-8.6
732,CNP0273031.2,-7.4
733,CNP0186333.0,-10.3
734,CNP0287672.3,-8.2
735,CNP0148672.1,-7.9
736,CNP0561516.0,-10.1
737,CNP0288333.1,-9.2
738,CNP0170498.1,-9.2
739,CNP0173292.3,-7.9
740,CNP0255456.4,-9.1
741,CNP0553738.1,-8.9
742,CNP0023248.1,-11.4
743,CNP0297580.1,
744,CNP0414750.1,-9.4
745,CNP0237450.3,
746,CNP0178344.2,-9.1
747,CNP0254016.8,-6.9
748,CNP0227312.15,-6.5
749,CNP0176793.3,-7.1
750,CNP0435287.0,-7.9
751,CNP0087289.1,-7.4
752,CNP0565391.1,-8.5
753,CNP0005174.1,-7.9
754,CNP0119892.1,-8.9
755,CNP0311920.2,-8.2
756,CNP0287001.1,-8.7
757,CNP0550514.1,
758,CNP0291127.1,-8.4
759,CNP0149616.2,
760,CNP0499276.1,-8.5
761,CNP0080174.1,-11.0
762,CNP0162158.1,-9.3
763,CNP0173851.1,-10.7
764,CNP0229623.0,-9.7
765,CNP0000352.0,-5.7
766,CNP0383353.0,-5.6
767,CNP0000463.0,-5.2
768,CNP0593475.0,-7.9
769,CNP0593961.0,-6.3
770,CNP0441428.0,-4.7
771,CNP0275417.0,-5.9
772,CNP0548299.0,-6.1
773,CNP0013433.4,
774,CNP0248065.1,-10.2
775,CNP0191553.1,-10.1
776,CNP0194530.11,-9.7
777,CNP0237198.1,-10.9
778,CNP0133830.2,-5.5
779,CNP0451557.4,-7.6
780,CNP0341843.2,-9.3
781,CNP0267956.0,-9.5
782,CNP0122956.0,-8.8
783,CNP0552309.0,-5.4
784,CNP0344789.2,-9.4
785,CNP0293065.0,-5.721
786,CNP0034158.0,
787,CNP0167155.2,-8.177
788,CNP0263305.1,-8.782
789,CNP0308522.1,-8.239
790,CNP0278124.1,-8.483
791,CNP0385242.1,-9.718
792,CNP0562523.0,-7.95
793,CNP0345884.3,-8.349
794,CNP0419824.4,-10.88
795,CNP0107701.2,-10.2
796,CNP0235704.2,-9.0
797,CNP0279196.1,-9.3
798,CNP0369291.1,-8.6
799,CNP0307229.1,-8.0
800,CNP0333407.1,-8.7
801,CNP0229353.1,-9.1
802,CNP0248166.2,-7.5
803,CNP0132601.0,-9.0
804,CNP0159711.1,-9.5
805,CNP0273283.0,-6.1
806,CNP0527331.1,-9.6
807,CNP0190607.0,-4.9
808,CNP0327757.0,-5.8
809,CNP0446095.3,-9.5
810,CNP0120130.1,-8.7
811,CNP0488125.2,-7.9
812,CNP0116537.0,-7.7
813,CNP0575970.0,-10.1
814,CNP0170951.0,-6.3
815,CNP0260135.7,-9.3
816,CNP0504697.1,-10.9
817,CNP0516316.4,-9.6
818,CNP0392786.2,-10.0
819,CNP0506468.1,-8.2
820,CNP0141682.2,-8.2
821,CNP0211709.9,-8.6
822,CNP0086764.0,-6.3
823,CNP0006854.1,-9.4
824,CNP0046569.1,-11.2
825,CNP0114637.1,-5.8
826,CNP0303534.0,-7.4
827,CNP0271115.2,-6.2
828,CNP0427035.2,-6.3
829,CNP0536692.1,-4.8
830,CNP0463767.1,-10.1
831,CNP0011011.1,-11.2
832,CNP0156520.2,-9.9
833,CNP0196862.2,-11.9
834,CNP0145350.9,-9.6
835,CNP0259450.0,-5.3
836,CNP0352038.1,-5.2
837,CNP0379717.14,-5.6
838,CNP0289666.1,-6.6
839,CNP0135234.0,-5.7
840,CNP0485831.1,-5.7
841,CNP0290001.0,-6.3
842,CNP0398254.1,-8.2
843,CNP0522503.1,-8.4
844,CNP0393255.1,-7.0
845,CNP0336109.0,-6.4
846,CNP0231882.1,-6.8
847,CNP0602581.1,-6.3
848,CNP0555958.1,-5.9
849,CNP0600653.1,-6.5
850,CNP0541797.0,-6.5
851,CNP0576509.2,-6.7
852,CNP0365781.1,-7.0
853,CNP0554058.1,-11.6
854,CNP0084595.1,-7.4
855,CNP0084980.2,-6.6
856,CNP0269636.2,-10.8
857,CNP0251815.1,-8.0
858,CNP0158754.1,-6.8
859,CNP0278148.3,-8.9
860,CNP0208451.2,-9.2
861,CNP0219641.1,-8.6
862,CNP0451149.1,-7.8
863,CNP0171626.1,-8.4
864,CNP0477737.1,-7.2
865,CNP0248755.2,-7.0
866,CNP0450087.0,-10.6
867,CNP0191194.10,-9.7
868,CNP0153336.2,-8.6
869,CNP0602856.0,-8.8
870,CNP0415561.1,-9.1
871,CNP0533278.1,-7.9
872,CNP0282814.1,-8.4
873,CNP0227901.14,-7.9
874,CNP0448186.1,-7.9
875,CNP0161551.3,-7.5
876,CNP0116127.3,-7.4
877,CNP0480314.1,-9.2
878,CNP0152204.1,-9.6
879,CNP0342088.1,-9.3
880,CNP0169328.3,-10.3
