outer_fold,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,inner_rmse
1,1.0,0.03,3,1,100,1,0.8,0.7470219794905414
1,1.0,0.03,3,1,100,1,0.8,0.7256301828384556
1,1.0,0.03,3,1,100,1,1.0,0.715157703698628
1,1.0,0.03,3,1,100,1,1.0,0.7492033510926495
1,1.0,0.03,3,1,100,1,1.0,0.7268050220598237
1,1.0,0.03,3,1,100,5,0.8,0.7167194490723955
1,1.0,0.03,3,1,100,5,0.8,0.7496179973345966
1,1.0,0.03,3,1,100,5,0.8,0.7274285194843164
1,1.0,0.03,3,1,100,5,1.0,0.7176628530383129
1,1.0,0.03,3,1,100,5,1.0,0.7515945786964121
1,1.0,0.03,3,1,100,5,1.0,0.7282196214632152
1,1.0,0.03,3,1,300,1,0.8,0.6361938765768717
1,1.0,0.03,3,1,300,1,0.8,0.6690801291496453
1,1.0,0.03,3,1,300,1,0.8,0.6531821906503553
1,1.0,0.03,3,1,300,1,1.0,0.6372964809575626
1,1.0,0.03,3,1,300,1,1.0,0.6717686169451604
1,1.0,0.03,3,1,300,1,1.0,0.6568137750842067
1,1.0,0.03,3,1,300,5,0.8,0.6364180786438223
1,1.0,0.03,3,1,300,5,0.8,0.6720716907137345
1,1.0,0.03,3,1,300,5,0.8,0.6542123173128409
1,1.0,0.03,3,1,300,5,1.0,0.6391658663089169
1,1.0,0.03,3,1,300,5,1.0,0.6758234292148574
1,1.0,0.03,3,1,300,5,1.0,0.6583075394405018
1,1.0,0.03,3,1,500,1,0.8,0.6191177212413604
1,1.0,0.03,3,1,500,1,0.8,0.6445455724085299
1,1.0,0.03,3,1,500,1,0.8,0.6363083177037835
1,1.0,0.03,3,1,500,1,1.0,0.619395410226402
1,1.0,0.03,3,1,500,1,1.0,0.6506824710181994
1,1.0,0.03,3,1,500,1,1.0,0.6408087107107716
1,1.0,0.03,3,1,500,5,0.8,0.6181403424550629
1,1.0,0.03,3,1,500,5,0.8,0.6481654758071631
1,1.0,0.03,3,1,500,5,0.8,0.6363717399953105
1,1.0,0.03,3,1,500,5,1.0,0.6214044373696802
1,1.0,0.03,3,1,500,5,1.0,0.6541605493050774
